data_ora,account,followers,likes_totali,video_totali,engagement_medio,avg_views,avg_likes,avg_commenti,avg_condivisioni,video_analizzati,stato,dettaglio_errore,TIKTOK_VALORE_BASE,TIKTOK_VOLATILITA,TIKTOK_INDICE_FINALE
02/07/2026 13:38:14,khaby.lame,162263470,2636094874,1335,6.05,50662068.97,2448462.07,20981.0,142742.62,29,ok,,52.04,0.0,52.04
02/07/2026 13:40:04,arnaldomangini,36455691,280705409,2469,2.75,6034263.64,294250.39,3699.94,9808.3,33,ok,,52.04,0.0,52.04
02/07/2026 13:40:09,paky__official,29691681,604303619,4539,1.64,6106653.12,172032.75,1604.41,5128.34,32,ok,,52.04,0.0,52.04
02/07/2026 13:40:17,mercuri_88,24527873,445511891,1667,7.95,1104233.33,58065.67,1141.64,3333.33,33,ok,,52.04,0.0,52.04
02/07/2026 13:40:24,gianlucavacchi,22272872,275471248,538,4.35,2931343.33,117093.33,2178.23,4389.7,30,ok,,52.04,0.0,52.04
02/07/2026 13:40:30,urbantheory_,21144961,225402718,641,9.14,13001965.06,1079223.16,4401.44,18556.38,32,ok,,52.04,0.0,52.04
02/07/2026 13:40:35,jessibrugali,10228086,242546730,2741,3.88,145219.78,5808.5,18.44,107.72,32,ok,,52.04,0.0,52.04
02/07/2026 13:40:42,lucianospinelli,7601754,609642967,614,12.31,398413.33,44393.17,144.33,2177.93,30,ok,,52.04,0.0,52.04
02/07/2026 13:40:48,faffapix,15475562,285871621,2106,1.79,2999153.12,58286.56,553.53,277.41,32,ok,,52.04,0.0,52.04
02/07/2026 13:40:55,ceciliacantarano,3598006,290928743,1937,12.45,2091900.0,196855.53,654.75,7130.56,32,ok,,52.04,0.0,52.04
02/07/2026 13:41:22,jakidale,810215,10918676,164,9.46,636057.58,61610.64,351.64,3197.61,33,ok,,52.04,0.0,52.04
02/07/2026 13:41:29,gabrielevagnato,4121208,186347831,2102,7.12,449742.97,36684.28,106.34,654.47,32,ok,,52.04,0.0,52.04
02/07/2026 13:41:35,virginiamontemaggi,5454998,540366200,1970,13.55,469638.82,60344.64,141.03,728.21,33,ok,,52.04,0.0,52.04
02/07/2026 13:41:43,ornellazocco,,,,,,,,,,errore_sessione,"info profilo fallita: Exception: No sessions created, please create sessions first",52.04,0.0,52.04
02/07/2026 13:42:14,madtrinity_,,,,,,,,,,errore_sessione,"info profilo fallita: Exception: No sessions created, please create sessions first",52.04,0.0,52.04
